Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 61.0.3163.100,,2017-09-30 21:27:07,2017-09-30 21:27:33,25.784s,PASSED
,,,,,,
Test Cases/Test1,Chrome 61.0.3163.100,,2017-09-30 21:27:08,2017-09-30 21:27:18,10.305s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-09-30 21:27:08,2017-09-30 21:27:14,5.233s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-09-30 21:27:14,2017-09-30 21:27:17,2.963s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-09-30 21:27:17,2017-09-30 21:27:18,1.202s,PASSED
,,,,,,
Test Cases/Test2,Chrome 61.0.3163.100,,2017-09-30 21:27:18,2017-09-30 21:27:31,13.295s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-09-30 21:27:18,2017-09-30 21:27:21,2.533s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-09-30 21:27:21,2017-09-30 21:27:31,10.576s,PASSED
