Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Testsuite1,Chrome 61.0.3163.100,,2017-09-30 21:38:48,2017-09-30 21:39:29,41.210s,PASSED
,,,,,,
Test Cases/Test1,Chrome 61.0.3163.100,,2017-09-30 21:38:48,2017-09-30 21:39:00,11.382s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-09-30 21:38:49,2017-09-30 21:38:54,4.678s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-09-30 21:38:54,2017-09-30 21:38:58,4.530s,PASSED
closeBrowser,Chrome 61.0.3163.100,,2017-09-30 21:38:58,2017-09-30 21:39:00,1.473s,PASSED
,,,,,,
Test Cases/Test2,Chrome 61.0.3163.100,,2017-09-30 21:39:00,2017-09-30 21:39:28,28.049s,PASSED
openBrowser,Chrome 61.0.3163.100,,2017-09-30 21:39:00,2017-09-30 21:39:03,3.395s,PASSED
navigateToUrl,Chrome 61.0.3163.100,,2017-09-30 21:39:03,2017-09-30 21:39:28,24.301s,PASSED
